code,secode,name
600004,2010000005,白云机场
600027,2010000023,华电国际
600030,2010000026,中信证券
600031,2010000027,三一重工
600037,2010000031,歌华有线
600039,2010000033,四川路桥
600062,2010000047,华润双鹤
600065,2010000050,*ST联谊
600067,2010000052,冠城大通
600114,2010000099,东睦股份
600150,2010000129,中国船舶
600159,2010000137,大龙地产
600167,2010000144,联美控股
600168,2010000145,武汉控股
600177,2010000153,雅戈尔
600183,2010000159,生益科技
600189,2010000165,吉林森工
600190,2010000166,锦州港
600195,2010000170,中牧股份
600198,2010000173,大唐电信
600208,2010000182,新湖中宝
600210,2010000184,紫江企业
600212,2010000186,*ST江泉
600228,2010000200,昌九生化
600235,2010000207,民丰特纸
600240,2010000212,华业资本
600253,2010000223,天方药业
600262,2010000231,北方股份
600268,2010000236,国电南自
600269,2010000237,赣粤高速
600278,2010000245,东方创业
600284,2010000251,浦东建设
600288,2010000255,大恒科技
600303,2010000269,曙光股份
600311,2010000276,荣华实业
600333,2010000296,长春燃气
600336,2010000298,澳柯玛
600354,2010000312,敦煌种业
600357,2010000315,承德钒钛
600366,2010000323,宁波韵升
600376,2010000332,首开股份
600380,2010000336,健康元
600386,2010000341,北巴传媒
600398,2010000352,海澜之家
600415,2010000362,小商品城
600421,2010000367,仰帆控股
600423,2010000369,柳化股份
600435,2010000376,北方导航
600449,2010000383,宁夏建材
600475,2010000399,华光股份
600487,2010000410,亨通光电
600502,2010000423,安徽水利
600507,2010000427,方大特钢
600529,2010000447,山东药玻
600530,2010000448,交大昂立
600537,2010000454,亿晶光电
600548,2010000462,深高速
600555,2010000468,海航创新
600561,2010000474,江西长运
600563,2010000476,法拉电子
600566,2010000478,济川药业
600569,2010000481,安阳钢铁
600609,2010000520,金杯汽车
600637,2010000548,东方明珠
600647,2010000558,同达创业
600654,2010000565,中安消
600659,2010000570,*ST花雕
600667,2010000578,太极实业
600672,2010000583,*ST华圣
600677,2010000588,航天通信
600690,2010000601,青岛海尔
600694,2010000605,大商股份
600701,2010000612,*ST工新
600713,2010000624,南京医药
600714,2010000625,金瑞矿业
600720,2010000631,祁连山
600735,2010000646,新华锦
600753,2010000664,东方银星
600760,2010000671,*ST黑豹
600763,2010000674,通策医疗
600806,2010000717,*ST昆机
600811,2010000722,东方集团
600826,2010000737,兰生股份
600833,2010000744,第一医药
600836,2010000747,界龙实业
600840,2010000751,新湖创业
600869,2010000780,智慧能源
600870,2010000781,厦华电子
600881,2010000792,亚泰集团
600890,2010000801,中房股份
600895,2010000806,张江高科
600898,2010000809,三联商社
600962,2010000814,国投中鲁
600963,2010000815,岳阳林纸
600980,2010000827,北矿科技
600990,2010000836,四创电子
601007,2010000847,金陵饭店
601166,2010000853,兴业银行
601398,2010000861,工商银行
601601,2010000864,中国太保
601866,2010000870,中海集运
3,2010000939,PT金田A
40,2010000976,东旭蓝天
62,2010000991,深圳华强
150,2010001005,宜华健康
338,2010001014,潍柴动力
410,2010001025,沈阳机床
413,2010001028,东旭光电
418,2010001032,小天鹅A
420,2010001034,吉林化纤
423,2010001037,东阿阿胶
426,2010001039,兴业矿业
430,2010001042,张家界
488,2010001043,晨鸣纸业
510,2010001054,金路集团
515,2010001058,攀渝钛业
531,2010001074,穗恒运A
537,2010001080,广宇发展
539,2010001082,粤电力A
552,2010001095,靖远煤电
578,2010001118,盐湖集团
591,2010001129,太阳能
592,2010001130,平潭发展
594,2010001132,国恒退
598,2010001136,兴蓉环境
603,2010001141,盛达矿业
613,2010001150,大东海A
619,2010001155,海螺型材
621,2010001157,*ST比特
629,2010001164,*ST钒钛
639,2010001173,西王食品
665,2010001187,湖北广电
670,2010001192,*ST盈方
672,2010001194,上峰水泥
682,2010001203,东方电子
692,2010001212,惠天热电
703,2010001221,恒逸石化
727,2010001241,华东科技
737,2010001250,南风化工
750,2010001254,国海证券
762,2010001265,西藏矿业
765,2010001267,*ST华信
766,2010001268,通化金马
782,2010001277,美达股份
809,2010001300,铁岭新城
813,2010001304,德展健康
821,2010001311,京山轻机
830,2010001319,鲁西化工
837,2010001325,秦川机床
838,2010001326,财信发展
839,2010001327,中信国安
869,2010001341,张裕A
899,2010001361,赣能股份
903,2010001365,云内动力
909,2010001369,数源科技
922,2010001381,佳电股份
925,2010001383,众合科技
927,2010001385,一汽夏利
930,2010001388,中粮生化
962,2010001410,*ST东钽
977,2010001423,浪潮信息
981,2010001427,银亿股份
2011,2010001454,盾安环境
2015,2010001458,霞客环保
2017,2010001460,东信和平
2020,2010001463,京新药业
2036,2010001479,联创电子
2039,2010001482,黔源电力
2043,2010001486,兔宝宝
2057,2010001500,中钢天源
2063,2010001506,远光软件
2064,2010001507,华峰氨纶
2069,2010001512,*ST獐岛
2070,2010001513,众和股份
